#{"t_start": 1734076542.5818794, "env_id": "None"}
r,l,t,is_broken
0.0,1,2.157352,False
0.0,1,3.911727,False
0.0,1,5.627945,False
0.0,1,7.607428,False
0.0,1,9.784981,False
0.0,1,11.790127,False
0.0,1,13.539954,False
0.0,1,15.186973,False
0.0,1,17.077689,False
0.0,1,18.957778,False
0.0,1,21.018809,False
0.0,1,23.106638,False
0.0,1,24.888641,False
0.0,1,26.770418,False
0.0,1,28.525182,False
0.0,1,30.35977,False
0.0,1,32.067147,False
0.0,1,33.871325,False
0.0,1,35.697543,False
0.0,1,40.718821,False
