#{"t_start": 1734076375.1031263, "env_id": "None"}
r,l,t,is_broken
0.0,1,2.287018,False
0.0,1,4.466702,False
0.0,1,6.643719,False
0.0,1,9.132712,False
0.0,1,11.192523,False
0.0,1,13.099183,False
0.0,1,15.120635,False
0.0,1,17.128502,False
0.0,1,19.363608,False
0.0,1,21.240535,False
0.0,1,23.046965,False
0.0,1,27.813086,False
0.0,1,32.889512,False
0.0,1,38.158012,False
0.0,1,46.634807,False
0.0,1,55.560867,False
0.0,1,60.361161,False
0.0,1,65.506743,False
0.0,1,70.15371,False
0.0,1,75.433299,False
0.0,1,77.972306,False
0.0,1,80.155993,False
