#{"t_start": 1736474391.3558874, "env_id": "None"}
r,l,t,is_broken
-55.522744,5,9.069541,False
-0.27678,5,15.216458,False
-0.088251,5,22.080102,False
0.058631,5,28.242216,False
-0.063129,5,34.72223,False
-1.687683,5,41.017848,True
-0.004456,5,47.470453,False
-0.020056,5,54.173496,False
0.004266,5,60.608824,False
0.121587,5,67.625103,False
-0.399289,5,73.533005,False
-0.001602,5,79.815185,False
0.138483,5,86.829429,False
-7.407229,5,93.238788,False
0.000853,5,99.701909,False
-5.885094,5,107.161354,False
-0.019411,5,114.132625,False
-1.828303,5,122.654978,True
-0.063293,5,131.310139,False
0.091094,5,141.375331,False
0.107955,5,151.042721,False
-0.050352,5,160.942153,False
-1.998809,5,171.769467,True
0.126734,5,181.827127,False
-3.147119,5,189.778868,True
-2.040968,5,249.653132,True
-2.086611,5,258.770043,True
0.004761,5,268.887765,False
-0.048486,5,278.409642,False
-0.02927,5,286.061686,False
0.001287,5,292.803367,False
-0.040974,5,299.420077,False
-0.014463,5,305.733766,False
-3.437382,5,311.957713,True
-10.081256,5,319.897707,False
-1.786585,5,325.786072,True
-0.089497,5,332.045735,False
-0.004211,5,339.705471,False
-5.355005,5,348.230294,False
-2.609639,5,358.875165,True
0.001922,5,370.957449,False
0.038915,5,381.075325,False
-0.001095,5,390.92212,False
0.004152,5,400.19175,False
0.052489,5,407.400161,False
-0.000216,5,413.999077,False
0.017997,5,420.728562,False
-0.009113,5,427.044818,False
0.080065,5,436.89165,False
0.035854,5,445.794112,False
-5.788699,5,454.888998,True
-5.6e-05,5,481.565609,False
0.00355,5,489.03282,False
-1.890189,5,496.665554,True
0.125545,5,503.89755,False
-0.001356,5,509.904517,False
0.004057,5,517.941847,False
0.108558,5,524.104674,False
0.003283,5,530.416014,False
0.126455,5,538.840508,False
0.019477,5,548.380944,False
-1.958768,5,558.693958,True
-0.061669,5,571.370668,False
0.013704,5,583.687013,False
-0.238898,5,594.379843,False
-0.018988,5,604.799214,False
0.094212,5,616.446375,False
-0.000427,5,623.932641,False
0.0035,5,631.218661,False
-3.941264,5,637.585833,True
-0.000271,5,643.569737,False
0.003243,5,649.716259,False
-6.220275,5,657.647849,True
-0.07783,5,666.239066,False
-0.071398,5,672.976097,False
0.035892,5,679.238688,False
-0.002911,5,701.223014,False
-4.113713,5,709.70533,True
