#{"t_start": 1729975613.1017249, "env_id": "None"}
r,l,t,is_broken
0.909118,1,18.644037,False
0.992713,1,20.116875,False
-20.808527,1,20.649188,True
0.987789,1,21.304513,False
0.976579,1,22.600002,False
0.992656,1,23.468141,False
0.906946,1,24.399338,False
0.982846,1,25.20971,False
0.975798,1,26.772864,False
0.992623,1,27.477198,False
0.992656,1,30.013125,False
0.986436,1,30.836442,False
0.987199,1,31.590832,False
0.987598,1,32.331295,False
0.987289,1,33.058738,False
0.987597,1,33.83678,False
0.987478,1,34.588085,False
0.987726,1,35.320407,False
