#{"t_start": 1734079590.843958, "env_id": "None"}
r,l,t,is_broken
nan,1,0.549091,False
0.007258,1,2.29177,True
0.000125,1,3.186937,True
10.722704,1,4.584163,True
2.1e-05,1,5.476715,True
0.246626,1,6.365959,True
0.001106,1,8.373271,True
nan,1,9.065397,False
8e-06,1,9.952713,True
73.930031,1,10.753052,True
nan,1,11.547293,False
0.000115,1,12.704327,True
0.000101,1,13.664998,True
5.001682,1,14.559519,True
0.000424,1,15.450769,True
0.001792,1,16.341984,True
188.672073,1,17.010521,True
0.20734,1,17.679449,True
