#{"t_start": 1736978551.1697211, "env_id": "None"}
r,l,t,is_broken
-4.153962,5,3.236363,True
0.799431,5,6.112881,True
-6.850304,5,9.745586,False
-7.488744,5,12.725283,False
0.188868,5,15.188242,True
-1240.098298,5,17.836633,False
-8.286489,5,19.886104,False
-0.02923,5,21.884143,True
0.000345,5,24.056874,True
-0.042447,5,26.642381,True
-0.049619,5,28.929899,False
0.000423,5,32.638301,True
-0.000246,5,34.658276,True
-10.28063,5,37.199675,False
-0.019139,5,40.116938,True
0.000954,5,42.701707,True
-0.053575,5,45.435693,True
8.2e-05,5,47.488627,True
-2424.718996,5,50.317265,False
1e-05,5,52.720569,True
-3.4e-05,5,56.1365,True
4e-06,5,58.388985,False
-1e-06,5,60.611561,True
-1e-06,3,61.804156,False
-0.000464,5,64.496102,False
1e-05,5,66.908496,True
