#{"t_start": 1731809610.038733, "env_id": "None"}
r,l,t,is_broken
-888.490356,1,1.256364,False
0.004999,1,3.248376,False
-875.624573,1,4.023927,False
-2244.723633,1,6.019512,False
0.004999,1,8.084882,False
-734.070679,1,8.918323,False
188.41629,1,9.849799,True
190.947235,1,10.68086,True
188.64006,1,11.444137,True
188.38652,1,12.52495,True
180.281723,1,13.34958,True
194.354416,1,14.088931,True
195.478882,1,14.862033,True
184.122101,1,15.90887,True
0.004999,1,18.71408,False
-11.051817,1,19.805308,False
178.457123,1,20.560827,True
179.147354,1,21.309617,True
-2258.998779,1,23.375372,False
0.004999,1,25.416948,False
-2252.264648,1,27.399899,False
180.218719,1,28.167728,True
0.004999,1,30.21568,False
-709.673523,1,31.047998,False
194.669128,1,31.812483,True
0.004999,1,34.427679,False
-688.064514,1,35.196814,False
