#{"t_start": 1731885393.737537, "env_id": "None"}
r,l,t,is_broken
-3995.709473,1,3.59056,False
-3354.175049,1,5.919552,False
-3354.175049,1,8.818781,False
-3354.175049,1,11.706421,False
-3354.175049,1,16.247373,False
-3995.684326,1,19.533216,False
-4382.01123,1,22.16083,False
-3354.175049,1,24.898417,False
-4339.819824,1,27.238292,False
-4331.634277,1,29.560594,False
-3354.175049,1,32.099964,False
-3354.175049,1,35.050097,False
-3354.175049,1,38.01756,False
-4266.702637,1,40.344358,False
-3641.057861,1,42.653167,False
-4343.410645,1,44.977345,False
-3354.175049,1,47.414987,False
-4388.492188,1,49.732556,False
-4258.843262,1,52.631971,False
-3354.175049,1,54.902701,False
-3354.175049,1,57.17665,False
-3354.175049,1,60.033457,False
-3354.175049,1,62.685972,False
-3354.175049,1,64.95921,False
-3354.175049,1,67.635466,False
-3589.003662,1,69.946717,False
-3354.175049,1,72.325527,False
-3354.175049,1,75.067522,False
-3354.175049,1,78.06915,False
-3354.175049,1,80.555695,False
-4327.041016,1,83.432324,False
-3865.709473,1,85.759166,False
-3354.175049,1,88.048659,False
-3354.175049,1,91.980028,False
-3354.175049,1,95.255459,False
-3611.616943,1,97.543581,False
-3354.175049,1,101.567033,False
-3354.175049,1,103.834333,False
-3438.216797,1,106.023737,False
-3998.496826,1,109.003994,False
-3354.175049,1,112.101741,False
-3363.255615,1,116.072711,False
-4057.598389,1,118.372329,False
-3997.86084,1,122.867767,False
-3354.175049,1,125.38918,False
-4333.818359,1,127.701978,False
-4258.537598,1,130.057068,False
-3354.175049,1,132.424582,False
-4094.822754,1,135.165722,False
-3354.175049,1,137.584628,False
-4386.740723,1,139.890325,False
-3354.175049,1,142.272693,False
-3354.175049,1,144.834688,False
-3768.153076,1,147.143616,False
-3633.82373,1,149.597366,False
-3822.110107,1,151.942551,False
-4370.999512,1,154.502494,False
-4361.579102,1,156.869552,False
-3354.175049,1,159.251559,False
-4365.741211,1,161.603758,False
-3354.175049,1,163.857471,False
-3354.175049,1,166.857304,False
-4002.436279,1,170.357473,False
-3354.175049,1,173.687743,False
-3354.175049,1,176.271711,False
-4048.196045,1,178.580588,False
-3354.175049,1,182.838042,False
-3354.175049,1,185.378126,False
-3354.175049,1,188.30918,False
-3354.175049,1,190.691023,False
-3354.175049,1,193.063977,False
-3354.175049,1,195.934366,False
-3354.175049,1,198.234635,False
-4242.35791,1,200.536977,False
-4350.029297,1,203.9234,False
-3485.44043,1,206.221405,False
-3354.175049,1,209.55065,False
-3354.175049,1,211.940303,False
-3354.180664,1,214.78926,False
-4342.062988,1,217.103073,False
-3354.175049,1,220.249575,False
-3354.175049,1,222.506029,False
-3354.175049,1,224.891653,False
-4357.890137,1,227.224693,False
-3354.175049,1,230.636685,False
-3354.175049,1,232.927406,False
-3354.175049,1,235.190517,False
-3354.175049,1,237.455228,False
-3354.175049,1,239.750943,False
-3354.175049,1,242.646348,False
-3354.175049,1,245.017311,False
-4025.970703,1,248.057873,False
-3362.634521,1,250.85632,False
-4378.711914,1,253.170574,False
-3715.908691,1,255.479348,False
-3354.175049,1,257.805908,False
-3354.175049,1,260.979399,False
-4237.658691,1,263.2966,False
-4377.635742,1,265.608519,False
-4406.080078,1,268.085518,False
-3354.175049,1,270.971218,False
-3995.709473,1,274.085993,False
-4329.65332,1,276.861396,False
-3982.911377,1,279.838649,False
-3354.175049,1,282.36046,False
-3354.175049,1,285.195636,False
-4343.412598,1,287.5107,False
-3354.175049,1,289.89158,False
-3354.175049,1,292.139899,False
-3995.709473,1,295.266575,False
-3354.175049,1,298.137603,False
-3354.175049,1,301.018655,False
-4308.640625,1,303.334774,False
-3354.175049,1,305.947486,False
-3354.175049,1,308.474054,False
-3995.709473,1,311.599496,False
-3989.303711,1,314.6942,False
-3354.175049,1,316.978207,False
-3989.276611,1,320.076054,False
-4015.7146,1,323.177069,False
-3991.000488,1,326.606899,False
-3354.175049,1,329.561395,False
-4009.243164,1,332.575809,False
-4343.412598,1,334.915248,False
-4316.615234,1,337.773746,False
-3354.175049,1,340.032341,False
-3354.175049,1,342.917627,False
-3354.175049,1,345.530411,False
-4284.746582,1,348.268162,False
-3354.175049,1,350.555808,False
-4335.0625,1,352.879428,False
-3354.175049,1,355.756166,False
-3354.175049,1,358.029009,False
-4013.433838,1,361.065517,False
-3354.175049,1,363.959965,False
-3354.175049,1,366.831567,False
-4002.332764,1,369.798208,False
-4034.413086,1,372.769496,False
-3354.175049,1,375.147789,False
-3354.175049,1,378.02768,False
-3995.709473,1,381.143161,False
-4018.670654,1,384.38742,False
-4010.779541,1,387.368876,False
-3354.175049,1,390.557626,False
-3995.709473,1,393.669656,False
-3354.175049,1,395.978007,False
-3990.5625,1,399.111129,False
-3995.709473,1,402.24221,False
-3354.175049,1,404.491807,False
-4315.725586,1,406.807838,False
-4003.95166,1,409.870391,False
-3999.923096,1,413.418952,False
-3995.709473,1,416.528462,False
-4008.91333,1,419.626494,False
-4003.004395,1,422.613115,False
-3984.560059,1,425.571584,False
-3354.175049,1,427.937784,False
-4107.893066,1,430.628443,False
-3354.175049,1,432.897196,False
-4316.313477,1,435.210298,False
-3354.175049,1,438.060386,False
-4335.0625,1,440.392421,False
-3995.709473,1,443.51279,False
-3999.595947,1,446.472965,False
-3996.749023,1,449.491699,False
-3354.175049,1,451.747337,False
-3354.175049,1,454.135835,False
-3354.175049,1,457.004053,False
-3354.175049,1,459.407218,False
-3354.175049,1,461.680763,False
-3354.175049,1,463.943549,False
-3896.057129,1,466.269937,False
-3864.58374,1,468.586228,False
-3864.481445,1,470.820815,False
-3865.709473,1,473.137262,False
-3863.976318,1,475.449235,False
-3865.709473,1,477.767396,False
-3865.709473,1,480.086674,False
-3865.709473,1,482.403181,False
-3863.976318,1,484.705189,False
-3832.189941,1,487.019591,False
-3865.709473,1,489.304528,False
-3865.709473,1,491.647252,False
-3865.709473,1,493.993916,False
-3929.74292,1,496.301137,False
-3865.709473,1,498.620813,False
-3863.976318,1,501.529227,False
-3797.673584,1,503.859033,False
-3835.560547,1,506.1864,False
-3865.709473,1,508.50439,False
-3865.709473,1,510.841793,False
-3865.709473,1,513.158522,False
-3858.192871,1,515.420828,False
-3837.228516,1,517.732408,False
-3865.709473,1,520.037987,False
-3827.537354,1,522.288555,False
-3871.992432,1,524.625563,False
-3865.709473,1,526.964357,False
-3855.58374,1,529.286304,False
-3865.709473,1,531.607046,False
-3821.727783,1,533.938515,False
-3865.709473,1,536.268883,False
-3822.110107,1,538.601991,False
-3865.709473,1,540.924541,False
-3819.625,1,543.176375,False
-3865.709473,1,545.500548,False
-3819.625,1,547.772686,False
-3865.709473,1,550.084822,False
-3865.709473,1,552.394592,False
-3941.485107,1,554.708049,False
-3882.140625,1,556.995369,False
-3842.417725,1,559.323315,False
-3865.709473,1,561.639265,False
-3865.709473,1,563.941301,False
-3783.231689,1,566.23597,False
-3865.709473,1,568.54496,False
-3865.709473,1,570.857788,False
-3866.570801,1,573.169459,False
-3918.14917,1,575.461191,False
-3865.709473,1,577.775514,False
-3883.044189,1,580.710183,False
-3822.110107,1,583.029775,False
-3354.175049,1,585.304159,False
-3878.72876,1,587.644539,False
-3851.913086,1,589.972089,False
-3865.709473,1,592.297306,False
-3822.110107,1,594.61902,False
-3641.057861,1,596.949143,False
-3715.908691,1,599.238648,False
-3472.164307,1,602.368401,False
-3354.175049,1,605.550083,False
-3715.908691,1,607.849084,False
-3693.887451,1,610.141112,False
-3703.598633,1,612.458254,False
-3703.598633,1,614.770613,False
-3715.908691,1,617.084568,False
-3645.914062,1,619.537565,False
-3675.442139,1,621.856158,False
-3715.908691,1,624.187585,False
-3724.827637,1,626.487755,False
-3715.908691,1,628.787779,False
-3715.908691,1,631.098024,False
-3715.908691,1,633.399462,False
-3715.908691,1,635.720788,False
-3747.483398,1,638.018123,False
-3354.175049,1,640.285368,False
-3703.598633,1,642.60195,False
-3715.908691,1,644.903374,False
-3355.906494,1,647.567545,False
-3664.881348,1,649.873432,False
-3607.397217,1,652.178989,False
-3715.908691,1,654.517174,False
-3715.908691,1,656.834136,False
-3715.908691,1,659.145489,False
-3715.908691,1,661.458745,False
-3715.908691,1,663.759655,False
-3715.908691,1,666.079713,False
-3607.397217,1,668.344329,False
-3715.908691,1,670.672679,False
-3715.908691,1,672.976468,False
-3715.908691,1,675.291828,False
-3715.908691,1,677.603911,False
-3607.397217,1,679.88909,False
-3715.908691,1,682.185144,False
-3715.908691,1,684.488878,False
-3774.662598,1,686.793385,False
-3722.413086,1,689.123952,False
-3715.908691,1,691.428353,False
-3715.908691,1,693.757054,False
-3641.057861,1,696.09539,False
-3690.233398,1,698.410557,False
-3746.517578,1,700.72906,False
-3666.19165,1,703.039277,False
-3715.908691,1,705.3559,False
-3712.413086,1,707.662345,False
-3715.908691,1,709.961008,False
-3645.914062,1,712.421387,False
-3715.908691,1,714.720095,False
-3715.908691,1,717.02141,False
-3715.908691,1,720.26094,False
-3726.932129,1,722.584882,False
-3743.144531,1,724.890877,False
-3691.639893,1,727.2212,False
-3715.908691,1,729.530923,False
-3715.908691,1,731.848132,False
-3715.908691,1,734.163366,False
-3354.175049,1,736.426932,False
-3715.908691,1,738.739613,False
-3715.908691,1,741.041253,False
-3715.908691,1,743.34485,False
-3720.270996,1,745.663155,False
-3715.908691,1,747.961819,False
-3715.908691,1,750.266207,False
-3715.908691,1,752.559216,False
-3715.908691,1,754.875549,False
-3715.908691,1,757.185919,False
-3715.908691,1,759.517756,False
-3715.908691,1,761.833062,False
-3485.44043,1,764.149765,False
-3485.44043,1,766.451077,False
-3485.44043,1,768.784029,False
-3473.766846,1,771.118522,False
-3485.44043,1,773.456451,False
-3407.898193,1,775.761019,False
-3485.44043,1,778.084743,False
-3354.175049,1,780.391017,False
-3485.44043,1,782.713463,False
-3567.963623,1,785.030005,False
-3720.268799,1,787.613195,False
-3462.608887,1,789.920455,False
-3485.44043,1,792.245308,False
-3490.5979,1,795.887698,False
-3405.800537,1,798.219563,False
-3491.378174,1,800.535127,False
-3485.44043,1,802.86482,False
-3485.44043,1,805.201561,False
-3485.44043,1,807.517793,False
-3354.206299,1,811.367876,False
-3512.94043,1,813.684388,False
-3493.843506,1,816.00094,False
-3485.44043,1,818.357311,False
-3535.755615,1,820.695448,False
-3496.590332,1,823.035308,False
-3485.44043,1,825.352848,False
-3485.44043,1,827.695975,False
-3485.44043,1,830.027034,False
-3425.202637,1,832.363202,False
-3485.44043,1,834.694822,False
-3485.44043,1,837.036119,False
-3712.227295,1,839.611827,False
-3527.242676,1,841.947594,False
-3485.44043,1,844.282763,False
-3485.44043,1,846.620035,False
-3485.44043,1,848.938021,False
-3485.44043,1,851.276123,False
-3454.992432,1,853.593118,False
-3485.44043,1,855.918886,False
-3485.44043,1,859.360094,False
-3485.44043,1,861.701375,False
-3485.44043,1,864.061401,False
-3539.697021,1,866.383176,False
-3703.598633,1,868.713789,False
-3521.013916,1,871.036474,False
-3485.44043,1,873.339356,False
-3485.44043,1,875.682583,False
-3485.44043,1,877.991837,False
-3498.05127,1,880.328321,False
-3354.175049,1,882.718269,False
-3485.44043,1,885.065926,False
-3483.921875,1,887.390911,False
-3485.44043,1,889.766873,False
-3466.998291,1,892.08256,False
-3457.774658,1,894.426027,False
-3354.499512,1,897.584128,False
-3468.183594,1,899.912434,False
-3485.44043,1,902.243997,False
-3485.44043,1,904.577506,False
-3485.44043,1,906.896017,False
-3485.44043,1,909.246626,False
-3485.44043,1,911.58032,False
-3485.44043,1,913.891415,False
-3384.469482,1,916.625108,False
-3862.481934,1,918.892817,False
-3863.573975,1,921.19426,False
-3354.175049,1,923.933653,False
-3373.682617,1,926.590287,False
-3362.634521,1,929.43361,False
-3362.634521,1,932.242799,False
-3626.952881,1,934.722311,False
-3372.195801,1,937.49754,False
-3359.428223,1,940.34418,False
-3362.078613,1,943.185858,False
-3362.035156,1,945.98622,False
-3863.573975,1,948.30835,False
-3359.68042,1,951.109109,False
-3367.253418,1,953.754376,False
-3375.582275,1,956.4491,False
-3407.542725,1,959.084659,False
-3378.202148,1,961.658421,False
-3358.197754,1,964.463719,False
-3362.634521,1,967.27847,False
-3355.906494,1,969.927794,False
-3363.222168,1,972.576629,False
-3362.286621,1,975.256999,False
-3362.634521,1,978.067229,False
-3361.161133,1,980.845699,False
-3366.069824,1,983.559146,False
-3362.634521,1,986.345705,False
-3364.197998,1,989.154548,False
-3434.308105,1,991.790391,False
-3359.349121,1,994.583282,False
-3369.478027,1,997.143666,False
-3367.081543,1,999.953882,False
-3362.93335,1,1002.750725,False
-3362.634521,1,1005.577722,False
-3362.080811,1,1008.354249,False
-3362.634521,1,1011.176018,False
-3362.286621,1,1013.591912,False
-3362.634521,1,1016.420498,False
-3371.265625,1,1019.054179,False
-3365.283203,1,1021.68895,False
-3362.634521,1,1024.517896,False
-3375.43335,1,1028.605972,False
-3614.865479,1,1031.079421,False
-3362.634521,1,1033.900456,False
-3683.349609,1,1036.449704,False
-3379.804199,1,1038.893282,False
-3366.144531,1,1041.717777,False
-3362.759521,1,1044.512316,False
-3362.634521,1,1047.316537,False
-3361.149414,1,1049.883947,False
-3358.270264,1,1052.652404,False
-3364.678955,1,1055.219311,False
-3355.906494,1,1057.883922,False
-3633.82373,1,1060.371638,False
-3354.616211,1,1063.040375,False
-3355.906494,1,1065.696137,False
-3355.906494,1,1068.350935,False
-3354.175049,1,1070.957113,False
-3355.412354,1,1073.65981,False
-3355.906494,1,1076.337162,False
-3357.727783,1,1078.995881,False
-3355.512451,1,1081.657514,False
-3355.451416,1,1084.302458,False
-3355.906494,1,1086.968423,False
-3355.104492,1,1089.630248,False
-3355.906494,1,1092.280531,False
-3357.202148,1,1094.954921,False
-3355.906494,1,1097.615972,False
-3625.763184,1,1099.931572,False
-3359.086914,1,1102.600287,False
-3355.945068,1,1105.278277,False
-3354.864258,1,1107.966076,False
-3354.970215,1,1110.621816,False
-3355.906494,1,1113.286161,False
-3355.449951,1,1115.958254,False
-3423.240479,1,1118.639228,False
-3631.440186,1,1121.314319,False
-3625.763184,1,1123.626571,False
-3355.906494,1,1126.293947,False
-3355.491211,1,1128.967569,False
-3355.906494,1,1131.637498,False
-3355.560547,1,1134.321657,False
-3355.793457,1,1136.982734,False
-3373.684326,1,1139.634073,False
-3356.423828,1,1142.288017,False
-3355.906494,1,1144.953946,False
-3355.018555,1,1147.612863,False
-3358.588135,1,1150.273871,False
-3355.906494,1,1152.930836,False
-3355.906494,1,1155.592314,False
-3389.625732,1,1158.276522,False
-3354.499512,1,1161.436603,False
-3359.509033,1,1164.092296,False
-3355.906494,1,1166.738559,False
-3355.906494,1,1169.38953,False
-3358.228027,1,1172.072852,False
-3355.906494,1,1174.722816,False
-3356.088379,1,1177.451828,False
-3355.906494,1,1180.116926,False
-3355.906494,1,1182.800653,False
-3354.175049,1,1185.404833,False
-3354.616211,1,1188.079101,False
-3399.204834,1,1190.714766,False
-3355.883545,1,1193.405596,False
-3356.345215,1,1196.183787,False
-3362.490967,1,1198.841968,False
-3355.983154,1,1201.532444,False
-3355.906494,1,1204.18526,False
-3356.038574,1,1206.914677,False
-3355.721436,1,1209.545398,False
-3354.730469,1,1212.19222,False
-3355.906494,1,1214.85975,False
-3355.1604,1,1217.498546,False
-3355.883545,1,1220.171542,False
-3354.505859,1,1224.450751,False
-3361.459717,1,1227.094837,False
-3501.05542,1,1229.755103,False
-3355.906494,1,1232.421124,False
-3462.608887,1,1234.729263,False
-3354.206299,1,1238.57722,False
-3411.905273,1,1242.262157,False
-3354.206299,1,1246.096977,False
-3354.208984,1,1249.905201,False
-3354.333984,1,1254.162103,False
-3354.206299,1,1258.008296,False
-3354.206299,1,1261.852351,False
-3354.174561,1,1265.559887,False
-3354.175049,1,1269.498772,False
-3354.583984,1,1273.465799,False
-3354.175049,1,1276.297898,False
-3354.211182,1,1279.997682,False
-3354.206299,1,1283.833477,False
-3354.226074,1,1287.702859,False
-3354.205078,1,1291.56125,False
-3354.182617,1,1294.862884,False
-3354.267578,1,1298.677768,False
-3354.376709,1,1302.390192,False
-3354.312256,1,1306.276401,False
-3354.318848,1,1310.686483,False
-3354.20459,1,1314.436155,False
-3354.267578,1,1318.244675,False
-3354.176025,1,1322.180311,False
-3354.206299,1,1326.028144,False
-3354.254395,1,1330.113858,False
-3354.206299,1,1333.94129,False
-3354.206299,1,1337.778352,False
-3354.180176,1,1341.667501,False
-3354.189209,1,1345.829363,False
-3354.206299,1,1349.648244,False
-3354.175049,1,1353.680047,False
-3354.217041,1,1357.179319,False
-3354.206299,1,1361.014506,False
-3354.55835,1,1364.835721,False
-3354.206299,1,1368.693825,False
-3354.303467,1,1372.430455,False
-3354.269287,1,1376.250597,False
-3354.206299,1,1380.064064,False
-3354.212891,1,1384.184707,False
-3354.183594,1,1388.011618,False
-3354.291016,1,1391.860357,False
-3354.212158,1,1395.683237,False
-3354.291016,1,1399.53263,False
-3354.218018,1,1403.641457,False
-3354.206299,1,1407.488539,False
-3354.217041,1,1411.253531,False
-3354.206299,1,1415.099399,False
-3354.175049,1,1418.13077,False
-3354.175049,1,1421.153739,False
-4003.86084,1,1424.617614,False
-3354.175049,1,1427.641306,False
-3354.175049,1,1430.671277,False
-3354.175049,1,1433.686362,False
-3354.175049,1,1436.838652,False
-3354.175049,1,1439.237364,False
-3354.175049,1,1442.255878,False
-3354.175049,1,1445.305525,False
-3354.175049,1,1448.334137,False
-3354.175049,1,1451.356684,False
-3354.175049,1,1454.364416,False
-3354.175049,1,1457.473545,False
-3354.175049,1,1460.50703,False
-3354.175049,1,1463.530235,False
-3354.175049,1,1466.558253,False
-3354.175049,1,1469.572784,False
-3354.175049,1,1472.871377,False
-3354.175049,1,1475.883069,False
-3354.175049,1,1478.764923,False
-3354.175049,1,1481.826742,False
-3354.175049,1,1484.980795,False
-3354.175049,1,1487.98317,False
-3354.175049,1,1491.022629,False
-3354.175049,1,1494.327006,False
-3354.175049,1,1497.475257,False
-3354.175049,1,1500.544852,False
-3354.175049,1,1503.576182,False
-3354.175049,1,1506.790441,False
-3354.175049,1,1509.814453,False
-3354.175049,1,1512.84707,False
-3354.175049,1,1517.766805,False
-3354.175049,1,1520.80167,False
-3354.175049,1,1523.832926,False
-3354.175049,1,1526.86032,False
-3354.175049,1,1529.887336,False
-3354.175049,1,1532.914693,False
-3354.175049,1,1536.054644,False
-3354.175049,1,1539.233988,False
-3354.175049,1,1542.246782,False
-3354.175049,1,1545.28756,False
-3354.175049,1,1548.287401,False
-3354.175049,1,1551.573005,False
-3354.175049,1,1554.436831,False
-3354.175049,1,1557.540169,False
-3354.175049,1,1560.556595,False
-3354.175049,1,1563.616384,False
-3354.175049,1,1566.022256,False
-3354.175049,1,1569.065947,False
-3354.175049,1,1572.104451,False
-3354.175049,1,1575.180744,False
-3354.175049,1,1578.276636,False
-3354.175049,1,1581.42557,False
-3354.175049,1,1583.811898,False
-3354.175049,1,1586.975604,False
-3354.175049,1,1589.993613,False
-3354.175049,1,1593.084445,False
-3354.175049,1,1596.108632,False
-3354.175049,1,1599.141868,False
-3354.175049,1,1602.153976,False
-3354.175049,1,1604.457469,False
-3354.175049,1,1606.752762,False
-4124.878418,1,1608.980047,False
-3354.175049,1,1611.293702,False
-3354.175049,1,1613.591871,False
-3354.175049,1,1615.927949,False
-3354.175049,1,1618.242936,False
-3354.175049,1,1620.574534,False
-3354.175049,1,1622.873347,False
-3354.175049,1,1625.17968,False
-3354.175049,1,1627.524924,False
-3354.175049,1,1629.847217,False
-3354.175049,1,1632.161298,False
-3354.175049,1,1634.466925,False
-3354.175049,1,1636.784412,False
-3354.175049,1,1639.109016,False
-3354.175049,1,1641.415899,False
-3354.175049,1,1643.737037,False
-3354.175049,1,1646.073323,False
-3354.175049,1,1648.388029,False
-3354.175049,1,1650.696847,False
-3354.175049,1,1653.037289,False
-3354.175049,1,1655.354203,False
-3354.175049,1,1657.658164,False
-3354.175049,1,1659.971327,False
-3354.175049,1,1662.26652,False
-3354.175049,1,1664.602745,False
-3354.175049,1,1666.931105,False
-3354.175049,1,1669.277919,False
-3354.175049,1,1671.593689,False
-3354.175049,1,1673.929698,False
-3354.175049,1,1676.235794,False
-3354.175049,1,1678.589771,False
-3354.175049,1,1680.918085,False
-3354.175049,1,1683.242212,False
-3354.175049,1,1685.595879,False
-3354.175049,1,1687.908567,False
-3354.175049,1,1690.23167,False
-3354.175049,1,1692.574545,False
-3354.175049,1,1694.905835,False
-3354.175049,1,1697.216857,False
-3354.175049,1,1699.516932,False
-3354.175049,1,1701.839138,False
-3354.175049,1,1704.201561,False
-3354.175049,1,1706.500566,False
-3354.175049,1,1708.796055,False
-3354.175049,1,1711.12774,False
-3354.175049,1,1713.467572,False
-3354.175049,1,1715.80496,False
-3354.175049,1,1718.126146,False
-3354.175049,1,1720.441569,False
-3354.175049,1,1722.746945,False
-3354.175049,1,1725.113549,False
-3354.175049,1,1727.457318,False
