#{"t_start": 1731793786.477661, "env_id": "None"}
r,l,t,is_broken
0.072978,1,1.23986,False
0.072926,1,2.108217,False
0.0,1,3.341238,False
nan,1,3.959236,False
0.0,1,5.007793,False
290.413513,1,5.955357,True
0.0,1,6.772583,False
0.072978,1,7.721542,False
407.700348,1,8.93153,True
0.000794,1,10.027692,False
316.105347,1,11.233196,True
nan,1,11.985269,False
nan,1,12.638062,False
0.000999,1,13.362056,False
0.0,1,14.827968,False
nan,1,16.715815,False
0.927678,1,17.70205,True
nan,1,18.373964,False
0.000795,1,19.23699,False
0.014227,1,20.418216,False
0.0,1,21.358897,False
nan,1,22.137814,False
0.072978,1,23.142133,False
0.000999,1,23.825262,False
0.0,1,24.732308,False
0.0,1,25.873259,False
0.072978,1,26.737973,False
0.0,1,27.95232,False
0.072978,1,30.250169,False
0.0,1,31.446589,False
0.0,1,32.327026,False
nan,1,32.932055,False
0.0,1,34.094468,False
nan,1,34.701799,False
0.0,1,35.82034,False
0.072926,1,36.915975,False
0.0,1,38.424507,False
0.0,1,39.265371,False
nan,1,39.808628,False
0.0,1,40.959568,False
0.0,1,41.97833,False
0.0,1,43.172208,False
0.072978,1,44.282774,False
nan,1,44.887677,False
0.0,1,45.986512,False
0.0,1,47.137345,False
0.000999,1,47.932309,False
0.000999,1,48.976797,False
0.000795,1,49.964687,False
0.000794,1,50.714919,False
0.000999,1,51.486692,False
0.0,1,52.387646,False
0.000999,1,53.303346,False
nan,1,53.909185,False
0.000999,1,54.619055,False
nan,1,55.238992,False
0.000794,1,55.932641,False
0.000795,1,57.048463,False
0.0,1,57.902389,False
0.000795,1,58.899395,False
0.927616,1,59.649099,True
0.000794,1,60.367444,False
0.927586,1,61.018513,True
0.000999,1,62.000277,False
0.000999,1,62.830006,False
nan,1,63.572074,False
0.000999,1,64.363413,False
0.0,1,65.144858,False
0.0,1,66.167104,False
0.000999,1,66.978629,False
0.016876,1,67.679356,False
0.000999,1,68.580352,False
0.000999,1,69.638895,False
nan,1,70.414327,False
0.000999,1,71.414407,False
nan,1,72.210638,False
0.000999,1,73.034165,False
nan,1,73.624862,False
nan,1,74.216828,False
0.000999,1,75.277688,False
nan,1,75.892882,False
nan,1,76.65866,False
0.000999,1,77.568472,False
387.82959,1,78.646517,True
0.000999,1,79.356794,False
nan,1,79.949694,False
0.000999,1,80.896946,False
nan,1,81.539965,False
nan,1,82.088323,False
0.072978,1,83.15021,False
0.000999,1,84.089174,False
nan,1,84.840272,False
0.68359,1,86.496347,True
0.014227,1,88.100096,False
0.000999,1,89.07086,False
0.072926,1,89.966515,False
0.000999,1,90.777793,False
0.014228,1,91.822463,False
0.329524,1,92.798831,True
0.10145,1,93.67954,False
0.000999,1,94.397354,False
0.014218,1,95.354117,False
0.014255,1,96.245109,False
0.000999,1,97.062743,False
4137.533691,1,98.024239,True
0.0,1,98.987345,False
0.016876,1,99.638185,False
0.085531,1,100.627403,False
0.0,1,101.461022,False
0.072978,1,102.436899,False
0.072978,1,103.46222,False
0.072978,1,104.372792,False
0.072926,1,105.410984,False
0.072978,1,106.563558,False
0.072978,1,107.59549,False
0.072978,1,108.566742,False
0.072978,1,109.425207,False
0.072978,1,110.283877,False
0.072978,1,111.287195,False
0.072926,1,112.234739,False
0.072926,1,113.053483,False
621.927307,1,114.465846,True
0.072978,1,115.313452,False
0.072978,1,116.348692,False
0.072978,1,117.204998,False
