#{"t_start": 1730254023.772545, "env_id": "None"}
r,l,t,is_broken
-inf,1,107.85536789894104,False
-inf,1,107.85537719726562,False
-inf,1,107.8553819656372,False
-inf,1,107.85538291931152,False
-inf,1,107.85538411140442,False
-inf,1,107.85538506507874,False
-inf,1,107.85538601875305,False
-inf,1,107.85538697242737,False
-inf,1,107.85538816452026,False
-inf,1,107.855388879776,False
0.0,1,107.85538983345032,False
-inf,1,107.85539102554321,False
-inf,1,107.85539197921753,False
-inf,1,107.85539197921753,False
-inf,1,107.85539293289185,False
-inf,1,107.85539388656616,False
-inf,1,107.85539507865906,False
-inf,1,107.85539603233337,False
-inf,1,107.85539603233337,False
-inf,1,107.85539698600769,False
-inf,1,107.85539817810059,False
-inf,1,107.85539889335632,False
-inf,1,107.85539984703064,False
-inf,1,107.85540390014648,False
-inf,1,107.85540390014648,False
-inf,1,107.85540509223938,False
-inf,1,107.85540986061096,False
-inf,1,107.85541081428528,False
-inf,1,107.85541081428528,False
0.0,1,107.85541200637817,False
-inf,1,107.85541296005249,False
-inf,1,107.8554139137268,False
-inf,1,107.85541486740112,False
-inf,1,107.85541987419128,False
-inf,1,107.85541987419128,False
-inf,1,107.8554208278656,False
-inf,1,107.85542178153992,False
-inf,1,107.85542297363281,False
0.0,1,107.85542297363281,False
-inf,1,107.85542392730713,False
0.0,1,107.85542488098145,False
0.0,1,107.85542607307434,False
-inf,1,107.85542702674866,False
-inf,1,107.85542798042297,False
-inf,1,107.85542917251587,False
-inf,1,107.85542917251587,False
-inf,1,107.85543012619019,False
-inf,1,107.85543084144592,False
-inf,1,107.85543084144592,False
-inf,1,107.85543179512024,False
-inf,1,107.85543298721313,False
0.0,1,107.85543394088745,False
0.0,1,107.85543489456177,False
-inf,1,107.85543608665466,False
-inf,1,107.85543608665466,False
-inf,1,107.85543704032898,False
-inf,1,107.8554379940033,False
-inf,1,107.85543894767761,False
0.0,1,107.85544013977051,False
-inf,1,107.85544013977051,False
0.0,1,107.85544109344482,False
-inf,1,107.85544180870056,False
-inf,1,107.85544300079346,False
-inf,1,107.85544300079346,False
-inf,1,107.85544395446777,False
0.0,1,107.85544896125793,False
0.0,1,107.85544896125793,False
-inf,1,107.85545015335083,False
-inf,1,107.85545110702515,False
-inf,1,107.85545206069946,False
-inf,1,107.85545206069946,False
-inf,1,107.8554527759552,False
-inf,1,107.8554539680481,False
0.0,1,107.85545492172241,False
-inf,1,107.85545492172241,False
-inf,1,107.85545587539673,False
-inf,1,107.85545706748962,False
-inf,1,107.85545992851257,False
-inf,1,107.85545992851257,False
-inf,1,107.85546112060547,False
-inf,1,107.85546207427979,False
0.0,1,107.85546278953552,False
0.0,1,107.85546398162842,False
-inf,1,107.85546398162842,False
-inf,1,107.85546493530273,False
0.0,1,107.85546588897705,False
-inf,1,107.85546684265137,False
-inf,1,107.85546803474426,False
0.0,1,107.85546803474426,False
-inf,1,107.85546898841858,False
-inf,1,107.8554699420929,False
-inf,1,107.85547113418579,False
-inf,1,107.85547113418579,False
-inf,1,107.85547208786011,False
-inf,1,107.85547304153442,False
-inf,1,107.85547375679016,False
-inf,1,107.85547375679016,False
-inf,1,107.85547494888306,False
0.0,1,107.85547590255737,False
-inf,1,107.85547685623169,False
